Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2013-01-01,12927.0,13380.0,12879.85,13350.0,13243.25,20619.0,2695.81
2013-01-02,13312.4,13435.0,13256.0,13295.0,13316.2,12217.0,1631.71
2013-01-03,13351.0,13365.95,13124.15,13273.0,13279.1,10213.0,1353.29
2013-01-04,13240.0,13418.4,13221.3,13365.0,13361.1,7307.0,973.81
2013-01-07,13375.0,13439.95,13265.0,13295.0,13288.8,7509.0,1001.57
2013-01-08,13301.0,13420.0,13200.0,13350.0,13346.2,10356.0,1381.0
2013-01-09,13400.0,13849.95,13380.0,13800.0,13786.45,33042.0,4517.83
2013-01-10,13787.8,13874.0,13612.6,13630.0,13647.3,13819.0,1893.39
2013-01-11,13903.9,13903.9,13460.0,13460.05,13473.4,7241.0,984.01
2013-01-14,13488.0,13585.7,13225.0,13581.0,13509.05,10982.0,1471.28
2013-01-15,13529.85,13622.8,13465.0,13510.0,13557.85,10540.0,1427.26
2013-01-16,13475.0,13704.85,13360.0,13360.0,13404.25,9331.0,1263.82
2013-01-17,13372.0,13474.2,13252.2,13286.0,13283.35,7257.0,967.73
2013-01-18,13399.0,13450.5,13242.9,13320.5,13336.4,5817.0,777.12
2013-01-21,13394.25,13509.95,13351.0,13460.0,13450.0,5446.0,731.87
2013-01-22,13460.0,13570.0,13350.0,13425.0,13419.8,4692.0,632.01
2013-01-23,13250.05,13474.05,13072.15,13268.0,13234.05,5692.0,755.05
2013-01-24,13244.0,13332.85,13025.0,13064.0,13064.05,7752.0,1018.65
2013-01-25,13075.0,13351.0,12930.25,13350.0,13286.1,5805.0,766.36
2013-01-28,13372.0,13419.95,13230.0,13299.9,13260.45,2870.0,381.5
2013-01-29,13191.55,13388.8,13025.05,13041.0,13060.5,4938.0,651.06
2013-01-30,13094.65,13248.8,13008.95,13110.65,13098.75,5011.0,657.07
2013-01-31,13133.95,13216.85,13035.0,13144.95,13138.85,4026.0,528.37
2013-02-01,13198.0,13315.0,13140.0,13243.9,13220.7,4732.0,626.51
2013-02-04,13228.75,13390.0,13200.0,13255.0,13233.75,5085.0,675.84
2013-02-05,13234.05,13250.0,13060.0,13112.2,13146.7,4714.0,621.24
2013-02-06,13372.85,13372.85,13187.1,13239.0,13245.6,4631.0,613.88
2013-02-07,13298.85,13448.95,13050.0,13174.0,13169.75,10910.0,1444.22
2013-02-08,13250.0,13530.0,13220.2,13390.0,13408.9,16332.0,2194.34
